,Country,Year,Annual percentage change in coal consumption,"Annual change in coal consumption, measured in terawatt-hours","Per capita primary energy consumption from coal, measured in kilowatt-hours","Primary energy consumption from coal, measured in terawatt-hours","Per capita electricity generation from coal, measured in kilowatt-hours","Electricity generation from coal, measured in terawatt-hours	",Annual percentage change in coal production,"Annual change in coal production, measured in terawatt-hours","Per capita coal production, measured in kilowatt-hours","Coal production, measured in terawatt-hours",Share of electricity generation that comes from coal,Share of primary energy consumption that comes from coal
913,North Macedonia,2004,-4.971,-0.855,7948.372,16.35,2508.454,5.16,-1.856,-0.246,6323.645,13.008,77.396,51.779
914,North America,2004,0.378,25.323,13253.937,6730.0,4462.824,2266.104,3.843,252.585,13441.315,6825.146,44.06,20.337
915,Romania,2004,-1.665,-1.776,4858.764,104.842,995.463,21.48,-3.684,-2.802,3395.137,73.26,38.018,22.925
916,Czechia,2004,0.152,0.367,23623.189,241.888,4913.353,50.31,-4.009,-11.371,26586.35,272.229,59.656,45.864
917,New Zealand,2004,3.326,0.764,5817.701,23.739,1781.679,7.27,1.104,0.415,9325.11,38.05,16.999,10.059
918,India,2004,6.43,135.545,1986.085,2243.529,409.875,463.005,7.993,156.238,1868.739,2110.971,66.305,51.604
919,Europe,2004,-2.537,-145.02,7639.458,5570.408,1714.259,1249.974,-0.846,-38.664,6211.291,4529.042,26.54,17.259
920,Egypt,2004,2.208,0.218,136.339,10.113,0.0,0.0,-10.811,-0.03,3.359,0.249,0.0,1.483
921,Mexico,2004,2.324,2.401,1011.527,105.72,227.7,23.798,33.156,17.018,653.945,68.347,10.11,5.972
922,High-income countries,2004,0.369,49.214,12151.727,13384.172,3358.679,3699.322,2.399,265.962,10308.996,11354.549,34.672,19.518
923,South Korea,2004,4.057,24.121,12758.375,618.697,2931.224,142.145,-3.244,-0.56,344.379,16.7,38.623,24.345
924,Africa,2004,10.04,102.113,1252.079,1119.162,274.315,245.195,2.212,35.396,1829.869,1635.615,45.34,29.537
925,World,2004,6.901,2173.779,5211.374,33673.012,1081.152,6985.804,8.674,2632.568,5104.353,32981.5,39.382,27.243
926,Norway,2004,12.903,1.124,2139.013,9.836,8.699,0.04,-1.359,-0.329,5193.648,23.881,0.036,2.003
927,Colombia,2004,-12.493,-3.526,587.003,24.699,46.107,1.94,7.715,30.971,10277.409,432.432,3.603,7.601
928,Argentina,2004,70.183,3.926,247.32,9.52,43.594,1.678,-42.697,-0.25,8.704,0.335,1.674,1.278
929,Japan,2004,2.646,32.843,9938.073,1274.103,2270.531,291.092,0.044,0.004,62.97,8.073,25.963,20.413
930,Pakistan,2004,11.515,4.056,250.725,39.28,3.894,0.61,1.647,0.287,113.203,17.735,0.741,6.304
931,Austria,2004,-2.043,-0.971,5668.417,46.576,962.661,7.91,-79.601,-2.628,81.965,0.673,12.339,11.146
932,European Union (27),2004,-1.757,-60.018,7756.368,3356.36,2018.223,873.332,-2.887,-64.927,5046.737,2183.84,30.001,17.801
933,United Kingdom,2004,-3.894,-17.257,7113.277,425.892,2201.127,131.788,-11.579,-23.75,3029.001,181.355,33.455,15.843
934,South Africa,2004,9.57,88.141,21337.969,1009.107,4783.136,226.202,1.708,26.771,33714.125,1594.395,92.477,73.509
935,Bulgaria,2004,-4.443,-3.822,10613.336,82.196,2440.4,18.9,-2.304,-1.245,6815.141,52.781,45.41,37.3
936,Spain,2004,4.571,10.7,5652.487,244.8,1854.677,80.323,-3.108,-2.582,1858.83,80.503,28.686,13.836
937,Bangladesh,2004,0.143,0.006,29.703,4.069,0.0,0.0,189.423,0.259,2.888,0.396,0.0,2.312
938,United States,2004,0.651,40.445,21395.188,6254.982,7332.209,2143.605,3.433,211.163,21762.695,6362.425,50.656,23.255
939,Kazakhstan,2004,6.597,19.14,20278.809,309.252,3315.146,50.556,2.51,10.67,28572.682,435.734,75.522,62.627
940,Venezuela,2004,-100.0,-0.501,0.0,0.0,0.0,0.0,15.324,9.146,2647.662,68.83,0.0,0.0
941,Peru,2004,8.129,0.794,382.253,10.559,13.032,0.36,37.5,0.047,6.293,0.174,1.483,6.688
942,China,2004,16.593,1872.222,9942.886,13155.28,1301.822,1722.421,17.095,1879.429,9730.088,12873.73,78.174,71.075
943,Philippines,2004,8.702,3.761,554.567,46.978,162.908,13.8,34.286,4.501,208.113,17.629,24.662,14.884
944,South America,2004,5.187,11.551,637.579,234.224,67.13,24.661,8.752,43.041,1455.805,534.812,3.12,4.442
945,Iran,2004,4.68,0.714,231.631,15.971,6.903,0.476,7.087,0.648,142.02,9.792,0.292,0.872
946,Brazil,2004,4.844,7.238,851.366,156.657,59.267,10.905,15.965,4.342,171.396,31.538,2.815,6.388
947,Italy,2004,12.022,20.714,3330.767,193.013,878.367,50.9,-60.8,-1.183,13.159,0.763,16.781,8.783
948,Hungary,2004,-5.18,-2.187,3957.081,40.024,808.741,8.18,-23.848,-8.477,2676.192,27.068,24.267,13.853
949,Upper-middle-income countries,2004,13.498,1975.65,7283.876,16611.803,997.048,2273.895,13.183,2020.186,7605.268,17344.775,47.06,43.901
950,Malaysia,2004,24.755,15.295,3059.809,77.079,898.23,22.627,122.386,1.349,97.296,2.451,23.555,9.989
951,Greece,2004,2.507,2.631,9573.484,107.558,3149.09,35.38,4.535,4.312,8847.294,99.399,59.616,27.009
952,Turkey,2004,6.101,14.77,3833.109,256.86,514.059,34.448,-2.271,-2.846,1827.906,122.49,22.859,26.351
953,Chile,2004,15.833,4.473,2043.301,32.723,575.087,9.21,-59.549,-1.758,74.576,1.194,18.515,9.666
954,Thailand,2004,12.043,13.401,1918.183,124.673,313.938,20.404,6.79,4.148,1003.874,65.247,16.438,12.59
955,France,2004,-4.805,-7.591,2477.652,150.388,401.496,24.37,-90.783,-11.96,20.006,1.214,4.245,4.743
956,Germany,2004,-2.517,-25.51,12102.298,988.11,3659.2,298.761,1.063,7.144,8320.562,679.345,48.38,24.642
957,Ukraine,2004,-4.987,-22.509,9082.441,428.85,955.748,45.128,-0.634,-2.568,8530.594,402.793,24.773,27.042
958,Asia,2004,12.52,2152.898,4923.292,19349.207,767.155,3015.025,15.228,2249.432,4330.833,17020.766,48.252,40.917
959,Slovenia,2004,1.67,0.289,8838.299,17.59,2607.744,5.19,-0.435,-0.07,8059.845,16.041,33.984,20.651
960,Oceania,2004,4.173,26.664,20070.691,665.66,5395.946,178.961,3.86,90.199,73174.289,2426.881,65.798,40.578
961,Uzbekistan,2004,35.139,2.692,397.057,10.354,374.651,9.77,41.087,2.566,337.939,8.813,19.667,1.837
962,Poland,2004,-2.939,-19.186,16503.047,633.71,3730.397,143.246,-2.952,-24.524,20994.936,806.196,92.921,60.862
963,Lower-middle-income countries,2004,4.305,132.108,1223.284,3200.895,215.541,563.993,10.358,346.36,1410.304,3690.259,35.74,25.812
964,Australia,2004,4.204,25.9,32290.357,641.921,9002.204,178.961,3.905,89.783,120164.617,2388.831,78.075,45.706
965,Russia,2004,-4.179,-50.662,8063.205,1161.752,1116.42,160.855,3.487,53.731,11068.952,1594.822,17.261,15.461
966,World,2005,7.413,2496.043,5528.58,36169.055,1124.66,7357.745,6.279,2070.957,5357.903,35052.457,39.846,28.353
967,Hungary,2005,-11.069,-4.43,3529.031,35.594,696.018,7.02,-24.89,-6.737,2015.77,20.331,19.633,11.527
968,United States,2005,1.47,91.974,21515.58,6346.957,7386.119,2178.857,1.458,92.737,21882.387,6455.162,50.404,23.586
969,Spain,2005,-2.546,-6.234,5419.604,238.566,1834.817,80.767,-4.276,-3.443,1750.61,77.06,27.465,13.392
970,Australia,2005,-0.576,-3.699,31628.762,638.222,9067.819,182.975,4.708,112.457,123957.836,2501.288,79.3,45.253
971,Philippines,2005,13.592,6.385,618.155,53.363,162.523,14.03,16.031,2.826,236.956,20.456,24.802,16.981
972,Peru,2005,1.489,0.157,384.577,10.717,13.637,0.38,95.454,0.166,12.194,0.34,1.49,6.49
973,Bangladesh,2005,105.164,4.279,60.042,8.348,0.0,0.0,175.521,0.694,7.84,1.09,0.0,4.399
974,Austria,2005,-0.297,-0.138,5626.361,46.438,868.706,7.17,-100.0,-0.673,0.0,0.0,10.728,10.922
975,Bulgaria,2005,-2.052,-1.686,10473.567,80.51,2401.468,18.46,-7.941,-4.191,6321.016,48.589,41.609,33.757
976,Pakistan,2005,11.02,4.329,272.036,43.609,3.992,0.64,2.74,0.486,113.664,18.221,0.721,6.745
977,France,2005,3.854,5.796,2555.37,156.185,450.097,27.51,-100.0,-1.214,0.0,0.0,4.776,4.954
978,Poland,2005,1.154,7.313,16706.814,641.023,3739.825,143.493,0.072,0.58,21026.801,806.776,91.434,60.227
979,Oceania,2005,-0.152,-1.01,19728.273,664.65,5431.113,182.975,4.662,113.138,75393.391,2540.019,66.848,40.551
980,Germany,2005,-4.324,-42.723,11585.238,945.387,3531.041,288.143,-3.152,-21.414,8062.606,657.931,46.287,23.858
981,North America,2005,1.717,115.555,13337.118,6845.555,4506.902,2313.262,1.632,111.417,13514.43,6936.563,43.877,20.584
982,Thailand,2005,8.093,10.089,2060.073,134.762,315.125,20.614,6.639,4.332,1063.638,69.579,15.805,13.191
983,Turkey,2005,0.321,0.826,3794.886,257.686,636.087,43.193,6.473,7.929,1920.65,130.419,26.669,25.853
984,Norway,2005,-14.603,-1.436,1813.183,8.399,8.635,0.04,-49.346,-11.784,2611.41,12.097,0.029,1.498
985,Europe,2005,-3.071,-171.066,7393.138,5399.341,1694.603,1237.599,-2.057,-93.168,6073.893,4435.873,25.875,16.675
986,High-income countries,2005,0.646,86.478,12142.042,13470.649,3395.869,3767.453,1.377,156.334,10375.566,11510.883,34.492,19.515
987,Uzbekistan,2005,-5.052,-0.523,372.004,9.831,339.794,8.98,11.237,0.99,370.934,9.803,18.855,1.748
988,Romania,2005,-4.635,-4.86,4668.292,99.982,1023.005,21.91,-8.01,-5.868,3146.591,67.391,36.877,21.816
989,North Macedonia,2005,3.767,0.616,8234.823,16.966,2640.418,5.44,-5.024,-0.654,5996.501,12.354,78.364,52.128
990,Egypt,2005,-2.16,-0.218,131.006,9.894,0.0,0.0,-24.242,-0.06,2.499,0.189,0.0,1.415
991,Africa,2005,-7.156,-80.089,1134.168,1039.073,271.583,248.812,0.649,10.619,1796.897,1646.235,44.396,27.352
992,Canada,2005,-0.431,-1.509,10830.171,348.345,3158.614,101.595,4.162,16.414,12771.531,410.788,16.374,9.183
993,Upper-middle-income countries,2005,12.858,2135.91,8161.402,18747.713,1114.638,2560.455,9.307,1614.336,8253.43,18959.111,49.092,46.101
994,Greece,2005,-1.357,-1.46,9452.123,106.098,3166.203,35.54,-0.103,-0.102,8846.211,99.297,59.214,26.551
995,European Union (27),2005,-3.281,-110.132,7476.065,3246.228,1949.315,846.424,-1.42,-31.007,4957.977,2152.833,28.899,17.206
996,Indonesia,2005,14.603,36.101,1252.01,283.317,229.021,51.825,15.391,139.6,4625.143,1046.621,40.628,20.022
997,Slovenia,2005,0.344,0.061,8847.614,17.651,2641.632,5.27,-5.594,-0.897,7590.875,15.144,34.861,20.72
998,Ukraine,2005,1.146,4.915,9250.54,433.765,1066.585,50.013,0.124,0.5,8600.698,403.293,26.881,27.018
999,Chile,2005,-1.996,-0.653,1981.751,32.07,476.434,7.71,133.476,1.594,172.312,2.788,14.856,9.103
1000,Slovakia,2005,-7.295,-3.863,9093.205,49.094,1026.123,5.54,-14.939,-1.378,1452.809,7.844,17.703,21.802
1001,South Korea,2005,3.002,18.574,13085.372,637.272,3063.921,149.216,-11.25,-1.879,304.332,14.821,38.312,24.254
1002,India,2005,9.475,212.585,2140.199,2456.113,416.94,478.485,4.557,96.188,1923.267,2207.16,67.917,53.352
1003,Lower-middle-income countries,2005,8.62,275.923,1307.185,3476.818,222.538,591.901,7.64,281.938,1493.433,3972.196,36.221,26.877
1004,Colombia,2005,-36.991,-9.136,364.904,15.562,49.71,2.12,10.74,46.443,11228.61,478.875,3.793,4.775
1005,Italy,2005,-0.766,-1.479,3286.368,191.534,848.352,49.443,-3.061,-0.023,12.683,0.739,16.282,8.705
1006,Morocco,2005,4.862,2.047,1449.57,44.147,365.122,11.12,-50.0,-0.082,2.697,0.082,56.38,27.406
1007,Brazil,2005,-3.557,-5.572,811.728,151.085,61.712,11.486,4.861,1.533,177.681,33.071,2.85,5.988
1008,South America,2005,-5.688,-13.322,594.134,220.902,68.468,25.457,8.031,42.95,1553.94,577.762,3.08,4.056
1009,Japan,2005,4.765,60.712,10401.734,1334.814,2455.735,315.135,-16.805,-1.357,52.338,6.716,27.33,21.313
1010,Asia,2005,13.679,2646.756,5530.85,21995.963,840.795,3343.809,11.067,1883.637,4753.482,18904.402,49.805,43.3
1011,Malaysia,2005,3.875,2.987,3116.526,80.065,982.11,25.231,102.479,2.512,193.17,4.963,25.55,9.588
1012,Vietnam,2005,4.715,4.896,1297.111,108.74,131.297,11.007,24.659,43.923,2648.637,222.042,21.136,29.406
1013,Mexico,2005,26.211,27.71,1258.707,133.43,309.513,32.81,3.317,2.267,666.136,70.614,13.231,7.082
1014,United Kingdom,2005,2.21,9.411,7220.39,435.302,2233.232,134.637,-18.468,-33.493,2452.594,147.862,33.798,16.012
1015,New Zealand,2005,11.327,2.689,6390.621,26.427,2229.556,9.22,1.788,0.681,9365.797,38.731,21.451,11.556
1016,South Africa,2005,-7.813,-78.843,19428.834,930.264,4780.437,228.89,0.94,14.995,33612.574,1609.39,93.454,71.583
1017,Argentina,2005,15.146,1.442,281.842,10.962,56.051,2.18,-50.98,-0.171,4.223,0.164,2.061,1.386
1018,Kazakhstan,2005,1.106,3.419,20299.643,312.671,3257.055,50.168,-0.563,-2.453,28129.984,433.281,73.863,61.609
1019,Russia,2005,-5.324,-61.849,7655.644,1099.903,1153.566,165.735,-1.123,-17.91,10975.767,1576.912,17.371,14.658
1020,Iran,2005,13.346,2.132,259.492,18.103,8.185,0.571,27.124,2.656,178.443,12.449,0.322,0.933
1021,Czechia,2005,-3.386,-8.191,22781.551,233.697,4827.374,49.52,0.694,1.889,26722.012,274.119,59.967,44.997
1022,China,2005,17.102,2249.825,11576.029,15405.105,1487.964,1980.148,12.174,1567.26,10851.554,14440.99,79.198,73.263
1023,Venezuela,2006,564.714,2.445,107.191,2.878,0.0,0.0,-0.437,-0.267,2265.092,60.818,0.0,0.303
1024,Chile,2006,24.847,7.968,2448.161,40.038,473.264,7.74,23.897,0.666,211.247,3.455,14.124,10.646
1025,Asia,2006,7.878,1732.803,5897.347,23728.766,922.172,3710.483,7.896,1492.76,5069.338,20397.162,51.165,44.172
1026,Upper-middle-income countries,2006,8.979,1683.375,8831.334,20431.088,1257.68,2909.614,6.334,1200.854,8714.141,20159.965,50.983,47.011
1027,Europe,2006,3.613,195.089,7646.898,5594.431,1762.719,1289.596,0.684,30.336,6104.758,4466.209,26.517,17.035
1028,Uzbekistan,2006,8.777,0.863,398.975,10.694,344.724,9.24,3.997,0.392,380.344,10.195,18.714,2.03
1029,Iran,2006,-3.475,-0.629,247.663,17.474,7.994,0.564,6.105,0.76,187.211,13.209,0.292,0.824
1030,Greece,2006,-7.908,-8.391,8735.396,97.707,2884.16,32.26,-4.307,-4.276,8495.183,95.021,53.069,23.756
1031,Norway,2006,-14.219,-1.194,1541.838,7.205,8.56,0.04,62.814,7.599,4214.788,19.696,0.033,1.403
1032,Turkey,2006,18.103,46.648,4426.235,304.334,678.471,46.65,17.353,22.632,2225.973,153.051,26.46,27.521
1033,Vietnam,2006,-38.739,-42.125,787.25,66.615,144.592,12.235,13.742,30.513,2984.664,252.555,21.125,19.652
1034,South America,2006,15.607,34.475,678.973,255.377,78.079,29.367,8.552,49.409,1667.464,627.171,3.386,4.504
1035,World,2006,5.253,1899.98,5747.301,38069.035,1171.499,7759.789,5.109,1790.809,5562.246,36843.266,40.485,29.018
1036,Slovenia,2006,1.969,0.348,8988.288,17.998,2711.709,5.43,-0.396,-0.06,7532.656,15.084,35.925,20.939
1037,European Union (27),2006,2.718,88.233,7656.361,3334.46,1962.996,854.914,-1.815,-39.063,4853.494,2113.77,28.747,17.541
1038,China,2006,9.823,1513.275,12640.67,16918.381,1720.268,2302.421,6.984,1008.563,11543.227,15449.554,80.343,73.404
1039,Philippines,2006,9.406,5.02,664.279,58.383,157.813,13.87,-18.179,-3.719,190.433,16.737,24.426,19.134
1040,Peru,2006,-14.917,-1.599,324.462,9.118,9.964,0.28,148.837,0.506,30.088,0.846,1.023,5.472
1041,United Kingdom,2006,9.359,40.74,7826.904,476.043,2447.332,148.85,-10.193,-15.071,2183.288,132.791,37.467,17.727
1042,Bangladesh,2006,51.939,4.336,90.007,12.684,10.077,1.42,70.225,0.766,13.168,1.856,4.807,6.169
1043,Kazakhstan,2006,5.403,16.893,21192.102,329.564,3171.562,49.322,11.196,48.51,30980.812,481.791,68.819,60.342
1044,South Africa,2006,1.856,17.264,19540.9,947.528,4897.389,237.472,-0.093,-1.498,33159.613,1607.892,93.567,71.454
1045,Bulgaria,2006,1.54,1.24,10712.823,81.75,2501.632,19.09,3.098,1.505,6564.642,50.095,41.642,33.632
1046,Thailand,2006,6.72,9.056,2185.274,143.818,371.789,24.468,-10.805,-7.518,942.995,62.061,17.891,13.783
1047,Pakistan,2006,5.959,2.599,281.713,46.207,4.146,0.68,14.87,2.709,127.605,20.93,0.703,6.782
1048,Japan,2006,-1.699,-22.672,10217.362,1312.142,2394.378,307.493,22.118,1.486,63.866,8.202,26.409,20.999
1049,Italy,2006,1.241,2.378,3312.309,193.911,861.902,50.458,-77.895,-0.576,2.791,0.163,16.065,8.854
1050,Brazil,2006,-1.397,-2.111,791.71,148.974,59.266,11.152,-0.089,-0.029,175.597,33.042,2.659,5.757
1051,Poland,2006,4.144,26.561,17405.646,667.584,3881.667,148.879,-1.907,-15.383,20633.676,791.393,92.047,59.767
1052,Colombia,2006,184.855,28.768,1026.137,44.33,51.851,2.24,10.426,49.929,12240.575,528.804,3.792,12.17
1053,Oceania,2006,2.538,16.871,19886.17,681.52,5420.442,185.764,2.303,58.498,75822.461,2598.517,65.984,40.054
1054,Germany,2006,4.011,37.924,12069.28,983.311,3546.393,288.933,-5.696,-37.477,7615.521,620.453,45.18,24.205
1055,Lower-middle-income countries,2006,4.393,152.743,1342.711,3629.561,237.453,641.873,10.375,412.1,1621.916,4384.296,37.07,26.999
1056,Malaysia,2006,5.937,4.753,3237.124,84.819,1016.184,26.626,14.34,0.712,216.56,5.674,25.603,10.04
1057,India,2006,3.817,93.751,2187.812,2549.865,433.694,505.465,4.373,96.525,1976.587,2303.685,67.9,52.578
1058,Czechia,2006,3.542,8.278,23495.918,241.975,4821.039,49.65,1.237,3.391,26946.352,277.51,58.854,45.704
1059,Egypt,2006,0.056,0.006,128.777,9.9,0.0,0.0,0.0,0.0,2.456,0.189,0.0,1.344
1060,Ukraine,2006,7.521,32.624,10006.752,466.389,1393.384,64.942,1.797,7.247,8808.479,410.54,33.582,28.711
1061,Australia,2006,2.707,17.277,31934.584,655.499,9050.064,185.764,2.221,55.552,124564.125,2556.841,78.055,44.566
1062,Indonesia,2006,18.487,52.376,1463.87,335.692,255.832,58.667,26.872,281.243,5790.487,1327.864,44.074,23.237
1063,Romania,2006,13.274,13.272,5333.542,113.254,1184.404,25.15,11.823,7.968,3548.925,75.359,40.114,24.219
1064,Africa,2006,1.446,15.024,1122.323,1054.097,272.465,255.901,-0.681,-11.208,1740.853,1635.027,43.656,27.205
1065,Canada,2006,-3.132,-10.912,10370.759,337.433,2900.222,94.365,-1.473,-6.052,12439.235,404.735,15.51,8.945
1066,Morocco,2006,1.686,0.744,1457.304,44.892,371.372,11.44,-66.676,-0.055,0.888,0.027,55.939,27.313
1067,North America,2006,-1.381,-94.533,13008.311,6751.022,4396.49,2281.68,2.455,170.31,13693.988,7106.874,43.224,20.38
1068,New Zealand,2006,-1.536,-0.406,6216.499,26.022,2224.144,9.31,7.605,2.945,9956.406,41.676,21.384,11.281
1069,Russia,2006,2.588,28.46,7868.459,1128.363,1239.669,177.773,3.975,62.686,11433.474,1639.597,17.919,14.398
1070,Hungary,2006,0.38,0.135,3553.118,35.729,696.126,7.0,0.484,0.098,2031.617,20.429,19.521,11.747
1071,United States,2006,-1.533,-97.274,20989.064,6249.683,7239.34,2155.578,2.607,168.256,22244.229,6623.418,49.771,23.409
1072,Spain,2006,-12.699,-30.296,4656.31,208.27,1519.789,67.978,-5.78,-4.454,1623.258,72.606,22.701,11.524
1073,Slovakia,2006,4.287,2.105,9483.566,51.199,983.575,5.31,-12.346,-0.968,1273.517,6.875,17.005,23.551
1074,North Macedonia,2006,-2.824,-0.479,7991.187,16.487,2476.817,5.11,-3.517,-0.434,5777.611,11.92,72.937,49.825
1075,Argentina,2006,-9.468,-1.038,252.58,9.924,50.751,1.994,463.999,0.762,23.577,0.926,1.758,1.195
1076,Mexico,2006,7.321,9.769,1331.332,143.198,295.063,31.737,11.479,8.106,731.866,78.72,12.386,7.366
1077,South Korea,2006,3.389,21.596,13479.161,658.867,3123.034,152.655,-0.282,-0.042,302.358,14.779,37.881,24.671
1078,High-income countries,2006,0.373,50.203,12095.17,13520.853,3352.974,3748.196,1.294,148.972,10430.401,11659.854,34.054,19.53
1079,Slovakia,2007,-10.388,-5.319,8498.359,45.88,889.104,4.8,-4.089,-0.281,1221.438,6.594,17.2,22.5
1080,Brazil,2007,5.973,8.898,830.334,157.872,59.24,11.263,2.943,0.972,178.899,34.014,2.53,5.748
1081,Romania,2007,0.843,0.955,5429.667,114.209,1193.295,25.1,5.844,4.404,3792.046,79.763,40.699,25.313
1082,Lower-middle-income countries,2007,10.211,370.6,1456.31,4000.161,247.612,680.136,7.414,325.064,1714.504,4709.361,37.193,28.002
1083,Peru,2007,32.034,2.921,424.906,12.039,10.588,0.3,4.673,0.04,31.237,0.885,1.002,6.601
1084,Africa,2007,1.664,17.536,1112.782,1071.633,272.549,262.47,-0.039,-0.638,1697.146,1634.388,42.977,26.66
1085,Spain,2007,11.889,24.76,5129.542,233.03,1630.784,74.085,-6.055,-4.396,1501.46,68.21,24.286,12.618
1086,World,2007,5.672,2159.383,5998.653,40228.418,1230.269,8250.479,4.391,1617.621,5735.087,38460.887,41.131,29.743
1087,Italy,2007,-2.095,-4.063,3231.578,189.848,846.958,49.757,652.382,1.066,20.926,1.229,15.851,8.837
1088,Hungary,2007,1.695,0.606,3624.696,36.335,735.224,7.37,0.923,0.189,2056.812,20.618,18.443,12.105
1089,Canada,2007,4.545,15.336,10712.456,352.77,3175.64,104.576,2.573,10.412,12606.656,415.147,16.49,9.009
1090,Upper-middle-income countries,2007,7.897,1613.451,9462.153,22044.539,1411.573,3288.625,7.312,1474.125,9285.977,21634.09,52.829,47.978
1091,South Africa,2007,2.686,25.45,19808.27,972.977,4979.988,244.616,0.078,1.252,32759.611,1609.144,92.841,71.427
1092,Pakistan,2007,36.833,17.02,376.781,63.227,4.052,0.68,-7.789,-1.63,115.012,19.3,0.684,8.728
1093,Japan,2007,4.974,65.262,10719.591,1377.404,2435.999,313.011,4.667,0.383,66.809,8.585,26.524,22.282
1094,North America,2007,1.338,90.336,13035.164,6841.358,4418.196,2318.84,-0.929,-65.994,13415.321,7040.879,42.837,20.339
1095,Thailand,2007,12.384,17.81,2442.176,161.628,466.608,30.881,-7.945,-4.93,863.232,57.13,21.665,14.834
1096,Morocco,2007,-16.252,-7.296,1206.407,37.596,368.057,11.47,-100.0,-0.027,0.0,0.0,56.466,23.082
1097,Europe,2007,-0.172,-9.614,7619.073,5584.816,1761.687,1291.325,-1.024,-45.731,6030.627,4420.478,26.227,17.141
1098,New Zealand,2007,-24.213,-6.301,4658.818,19.721,1715.077,7.26,-16.805,-7.004,8190.95,34.673,16.54,8.579
1099,European Union (27),2007,0.968,32.266,7710.218,3366.726,1993.952,870.674,-2.967,-62.708,4697.184,2051.062,29.145,17.928
1100,Kazakhstan,2007,9.886,32.58,23063.408,362.144,3582.099,56.247,1.871,9.014,31257.27,490.805,73.409,59.844
1101,Russia,2007,-3.201,-36.119,7623.874,1092.244,1191.643,170.722,1.787,29.308,11648.979,1668.905,16.759,13.864
1102,South Korea,2007,5.297,34.897,14148.405,693.764,3455.734,169.451,5.602,0.828,318.291,15.607,39.833,25.223
1103,Bangladesh,2007,-18.389,-2.332,72.56,10.351,9.743,1.39,28.053,0.521,16.656,2.376,4.482,4.919
1104,China,2007,8.899,1505.531,13687.962,18423.912,1973.784,2656.702,8.345,1289.312,12436.063,16738.865,80.959,73.551
1105,Indonesia,2007,25.462,85.473,1812.442,421.165,274.996,63.902,11.966,158.892,6398.111,1486.756,44.862,27.189
1106,Poland,2007,-2.534,-16.914,16965.145,650.67,3805.705,145.962,-8.167,-64.637,18948.965,726.756,91.599,58.418
1107,High-income countries,2007,1.602,216.572,12192.809,13737.425,3382.693,3811.221,-0.489,-56.972,10298.271,11602.883,33.84,19.668
1108,North Macedonia,2007,2.613,0.431,8190.971,16.918,2425.671,5.01,-1.958,-0.233,5658.235,11.687,77.101,51.515
1109,Greece,2007,5.434,5.309,9263.755,103.016,3118.601,34.68,2.678,2.545,8773.559,97.565,54.618,24.566
1110,Malaysia,2007,21.225,18.003,3848.068,102.822,1154.775,30.856,19.312,1.096,253.369,6.77,28.428,11.411
1111,Venezuela,2007,-43.953,-1.265,59.201,1.613,0.0,0.0,-4.303,-2.617,2136.01,58.201,0.0,0.161
1112,Vietnam,2007,9.465,6.305,853.673,72.92,144.662,12.357,9.554,24.13,3239.129,276.685,19.264,19.694
1113,Argentina,2007,44.706,4.437,361.865,14.36,58.991,2.341,-21.986,-0.204,18.21,0.723,2.062,1.657
1114,Asia,2007,8.663,2055.652,6335.002,25784.418,1020.221,4152.452,7.973,1626.348,5410.981,22023.51,52.736,45.206
1115,Iran,2007,4.244,0.742,255.345,18.215,8.06,0.575,0.848,0.112,186.729,13.321,0.283,0.808
1116,Egypt,2007,-9.096,-0.9,115.031,8.999,0.0,0.0,0.0,0.0,2.413,0.189,0.0,1.147
1117,Mexico,2007,-8.111,-11.615,1205.305,131.584,289.144,31.566,7.906,6.224,778.079,84.943,11.991,6.736
1118,Chile,2007,18.69,7.483,2874.833,47.522,577.73,9.55,-63.947,-2.209,75.352,1.246,16.379,12.382
1119,South America,2007,6.712,17.141,716.54,272.518,86.123,32.755,4.233,26.549,1718.847,653.721,3.598,4.564
1120,Germany,2007,2.54,24.976,12405.434,1008.287,3655.496,297.111,1.996,12.382,7786.082,632.836,46.377,25.897
1121,Czechia,2007,-0.19,-0.461,23317.781,241.515,5193.32,53.79,-0.241,-0.669,26728.424,276.841,61.108,46.121
1122,Colombia,2007,-11.951,-5.298,892.413,39.032,48.471,2.12,5.605,29.642,12768.116,558.446,3.503,10.681
1123,Bulgaria,2007,12.501,10.22,12138.509,91.97,2952.483,22.37,12.465,6.244,7435.895,56.339,51.666,39.09
1124,Philippines,2007,7.57,4.419,702.44,62.802,173.927,15.55,44.397,7.431,270.315,24.168,26.085,19.806
1125,Uzbekistan,2007,-13.876,-1.484,338.554,9.21,346.264,9.42,4.836,0.493,392.866,10.688,19.212,1.632
1126,Oceania,2007,-1.76,-11.997,19183.543,669.523,5314.648,185.486,2.964,77.011,76660.656,2675.528,64.612,38.566
1127,India,2007,9.428,240.408,2358.224,2790.272,450.694,533.265,6.21,143.07,2067.897,2446.755,66.971,53.016
1128,Ukraine,2007,6.371,29.712,10699.59,496.101,1510.514,70.037,-1.424,-5.845,8728.209,404.695,35.687,30.664
1129,United Kingdom,2007,-6.217,-29.596,7264.601,446.447,2212.083,135.944,-6.318,-8.389,2024.261,124.401,34.257,17.137
1130,Slovenia,2007,1.651,0.297,9092.643,18.296,2723.485,5.48,0.287,0.043,7517.89,15.127,36.429,21.407
